attempt    K    arraySize    mergeSortTime    hybridSortTime
8    71    5000    0.005300    0.004380
8    72    5000    0.005297    0.004403
8    73    5000    0.005296    0.004402
8    74    5000    0.005301    0.004424
8    75    5000    0.005296    0.004404
8    76    5000    0.005303    0.004430
8    77    5000    0.005300    0.005438
8    78    5000    0.005296    0.005546
8    79    5000    0.005303    0.005566
8    80    5000    0.005299    0.005602
9    0    5000    0.005302    0.005524
9    1    5000    0.005297    0.004977
9    2    5000    0.005292    0.004711
9    3    5000    0.005291    0.004658
9    4    5000    0.005305    0.004294
9    5    5000    0.005306    0.004292
9    6    5000    0.005296    0.004286
9    7    5000    0.005293    0.004285
9    8    5000    0.005302    0.004245
9    9    5000    0.005306    0.004069
9    10    5000    0.005297    0.004060
9    11    5000    0.005294    0.004072
9    12    5000    0.005294    0.004076
9    13    5000    0.005298    0.004063
9    14    5000    0.005298    0.004068
9    15    5000    0.005303    0.004069
9    16    5000    0.005299    0.004072
9    17    5000    0.005293    0.004062
9    18    5000    0.005298    0.004058
9    19    5000    0.005307    0.004032
9    20    5000    0.005301    0.004044
9    21    5000    0.005298    0.004029
9    22    5000    0.005299    0.004039
9    23    5000    0.005295    0.004034
9    24    5000    0.005301    0.004038
9    25    5000    0.005302    0.004046
9    26    5000    0.005299    0.004033
9    27    5000    0.005299    0.004028
9    28    5000    0.005298    0.004016
9    29    5000    0.005297    0.004046
9    30    5000    0.005300    0.004040
9    31    5000    0.005300    0.004030
9    32    5000    0.005295    0.004044
9    33    5000    0.005303    0.004001
9    34    5000    0.005301    0.004042
9    35    5000    0.005305    0.004036
9    36    5000    0.005301    0.004033
9    37    5000    0.005303    0.004036
9    38    5000    0.005309    0.004412
9    39    5000    0.005297    0.004461
9    40    5000    0.005310    0.004403
9    41    5000    0.005308    0.004409
9    42    5000    0.005302    0.004400
9    43    5000    0.005294    0.004407
9    44    5000    0.005298    0.004426
9    45    5000    0.005296    0.004443
9    46    5000    0.005301    0.004429
9    47    5000    0.005297    0.004397
9    48    5000    0.005296    0.004449
9    49    5000    0.005304    0.004421
9    50    5000    0.005305    0.004436
9    51    5000    0.005300    0.004414
9    52    5000    0.005297    0.004431
9    53    5000    0.005297    0.004402
